True_Value,Predicted_Value,Set
5.7974,7.063237779068251,Train
-4.1902,-2.456369214866932,Train
4.592,4.546993543161457,Train
-1.2628,-2.205556115955911,Train
-8.2082,-3.7917734042902467,Train
19.6882,13.650454054798917,Train
14.2926,13.17352733527583,Train
-0.1148,-1.3800720691654362,Train
0.6888,1.7637950281079569,Train
9.6432,12.084336277400318,Train
6.3714,6.87993951331422,Train
-3.7884,-3.6289902752698318,Train
8.2656,9.413505757758358,Train
11.9392,13.823532924444386,Train
-13.3168,-13.084095476595028,Train
-2.9274,-0.38422601817315893,Train
5.9122,7.368011351299368,Train
7.5768,7.335642824450416,Train
7.3472,6.344490507373725,Train
-2.009,-1.0284187974108807,Train
4.592,4.3510675553155025,Train
-4.5346,-0.58184985390535,Train
13.8334,14.169355582120827,Train
-5.7974,-3.030796839295002,Train
9.6432,8.238709616696674,Train
5.9122,9.02064966282731,Train
8.323,9.909917405922796,Train
4.4772,6.75008387453744,Train
2.0664,5.1909934326440474,Train
